Brand_Reg,Model_No,screensize,Screen_Tech,Avg_mode_power,Star2,Screen_Size_Inch,Advertised_Size_Int,Advertised_Size_Category
Philips,50PUT7428/79,125.725,LCD (LED),66.6,5,49.4980315,50,50.0 inch
Kodak,KD65WOS2,163.896,LCD (LED),95.274,6,64.52598425,65,65.0 inch
Chiq,U65QM8VG,163.829,LCD (LED),158,4,64.4996063,65,65.0 inch
Chiq,U58G7PG,146.039,LCD (LED),86.5,5,57.49566929,58,58.0 inch
Chiq,U55G7PG,138.798,LCD (LED),82.3,5,54.64488189,55,55.0 inch
Chiq,U50G7PG,125.638,LCD (LED),69.9,5,49.46377953,50,50.0 inch
Chiq,U43G7PG,107.95,LCD (LED),52.9,5,42.5,43,43.0 inch
Ffalcon,FF55U63,138.711,LCD (LED),53,6,54.61062992,55,55.0 inch
Ffalcon,FF50U63,125.638,LCD (LED),50.3,6,49.46377953,50,50.0 inch
Ffalcon,FF40S53,100.305,LCD (LED),35.6,5,39.49015748,40,40.0 inch
Ffalcon,FF32S53,79.967,LCD (LED),27,5.5,31.48307087,32,32.0 inch
Hisense,75U8KAU,189.34,LCD (LED),161.33,4.5,74.54330709,75,75.0 inch
Hisense,75U8KNZ,189.34,LCD (LED),161.33,4.5,74.54330709,75,75.0 inch
Hisense,75U8K series,189.34,LCD (LED),161.33,4.5,74.54330709,75,75.0 inch
Hisense,65U8KAU,163.896,LCD (LED),133.75,4.5,64.52598425,65,65.0 inch
Hisense,65U8KNZ,163.896,LCD (LED),133.75,4.5,64.52598425,65,65.0 inch
Hisense,65U8K series,163.896,LCD (LED),133.75,4.5,64.52598425,65,65.0 inch
Hisense,40A4KAU,100.332,LCD (LED),29.07,7,39.5007874,40,40.0 inch
Hisense,32A4KAU,80.04,LCD (LED),22.8,6,31.51181102,32,32.0 inch
Eko,K70USW2,176.538,LCD,145.2,5,69.50314961,70,70.0 inch
Kogan,KALED43U94VA,107.987,LCD (LED),51.44,4.5,42.51456693,43,43.0 inch
Kogan,KALED43U94VB,107.987,LCD (LED),51.44,4.5,42.51456693,43,43.0 inch
Kogan,KALED43U94VC,107.987,LCD (LED),51.44,4.5,42.51456693,43,43.0 inch
Kogan,KALED43U94V*,107.987,LCD (LED),51.44,4.5,42.51456693,43,43.0 inch
Chiq,U75F8TG,189.306,LCD (LED),137.7,5.5,74.52992126,75,75.0 inch
Chiq,L40G7PG,100.305,LCD (LED),46.8,5,39.49015748,40,40.0 inch
Chiq,L32G7PG,79.967,LCD (LED),27.7,5.5,31.48307087,32,32.0 inch
Philips,43PUT7908/75,107.95,LCD (LED),82.7,3,42.5,43,43.0 inch
Philips,32PHT6918/79,80.054,LCD (LED),25.7,6,31.51732283,32,32.0 inch
Samsung Electronics,QA83S90CAE,209.585,LCD (LED),192,5,82.51377953,83,83.0 inch
Samsung Electronics,QA83S**CA*,209.585,LCD (LED),192,5,82.51377953,83,83.0 inch
Samsung Electronics,QA83S89CAW,209.585,LCD (LED),192,5,82.51377953,83,83.0 inch
Samsung Electronics,QA83S89CAS,209.585,LCD (LED),192,5,82.51377953,83,83.0 inch
Toshiba,55Z670MP,138.783,LCD (LED),86.66,5,54.63897638,55,55.0 inch
Toshiba,65Z670MP,163.896,LCD (LED),117.13,5,64.52598425,65,65.0 inch
Toshiba,75Z670MP,189.34,LCD (LED),144.63,5,74.54330709,75,75.0 inch
Bauhn,ATV70UHDW-0923,176.592,LCD,107.4,6,69.52440945,70,70.0 inch
Bauhn,ATV70UHDW-1123,176.592,LCD,107.4,6,69.52440945,70,70.0 inch
Englaon,LED32M50,80.131,LCD (LED),43.25,4,31.5476378,32,32.0 inch
Englaon,LED24M50,59.809,LCD (LED),25.03,4.5,23.54685039,24,24.0 inch
